_id,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,geometry
610081,May,Monday,2023,15,0.0,YES,NO,NO,Weston (113),-79.52936274260539,43.70516585125755,MULTIPOINT ((-79.529362743 43.7051658510001))
610087,May,Monday,2023,15,0.0,NO,NO,YES,Wellington Place (164),-79.40111063296169,43.64696528643929,MULTIPOINT ((-79.401110633 43.6469652860001))
610095,May,Monday,2023,14,0.0,YES,NO,NO,Playter Estates-Danforth (67),-79.35886348045678,43.67619633749256,MULTIPOINT ((-79.35886348 43.6761963370001))
610336,May,Tuesday,2023,12,0.0,NO,YES,NO,East End-Danforth (62),-79.30182185138466,43.688139424017734,MULTIPOINT ((-79.3018218509999 43.688139424))
610345,May,Tuesday,2023,16,0.0,YES,NO,NO,East L'Amoreaux (148),-79.2906382072744,43.79546520136079,MULTIPOINT ((-79.290638207 43.7954652010001))
610433,May,Wednesday,2023,16,0.0,YES,NO,NO,Old East York (58),-79.33653842941706,43.696231204498396,MULTIPOINT ((-79.336538429 43.6962312040001))
610520,May,Wednesday,2023,23,0.0,NO,YES,NO,South Parkdale (85),-79.44364511878375,43.6376571871944,MULTIPOINT ((-79.4436451189999 43.637657187))
610525,May,Wednesday,2023,19,0.0,YES,NO,NO,Wellington Place (164),-79.39588663572003,43.64785098695462,MULTIPOINT ((-79.3958866359999 43.647850987))
610534,May,Wednesday,2023,15,0.0,YES,NO,NO,Woodbine Corridor (64),-79.31499513606617,43.67804711247712,MULTIPOINT ((-79.3149951359999 43.6780471120001))
610548,May,Wednesday,2023,11,0.0,NO,NO,YES,Annex (95),-79.39738864239575,43.6680342091879,MULTIPOINT ((-79.397388642 43.668034209))
610605,May,Thursday,2023,17,0.0,YES,NO,NO,Trinity-Bellwoods (81),-79.4207636264108,43.649327493872434,MULTIPOINT ((-79.4207636259999 43.649327494))
610769,May,Thursday,2023,13,0.0,NO,NO,YES,North St.James Town (74),-79.3783339514245,43.66628190538561,MULTIPOINT ((-79.3783339509999 43.6662819050001))
610774,May,Thursday,2023,13,0.0,NO,NO,YES,Fort York-Liberty Village (163),-79.41953772726254,43.63200627359733,MULTIPOINT ((-79.419537727 43.632006274))
